PMT_ID,First_Name,Last_Name,Email,Valid_Email,Valid_PMT
18040,A,X,A_X40tekpartners.com,Valid,Invalid
20507,B,Y,B_Y214tekpartners.com,Invalid,Valid
27790,C,Z,C_Z715tekpartners.com,Invalid,Valid
85250,A,X,A_X723tekpartners.com,Invalid,Invalid
51992,A,Y,A_Y161tekpartners.com,Invalid,Invalid
96732,B,Z,B_Z189tekpartners.com,Invalid,Invalid
29565,C,X,C_X236tekpartners.com,Invalid,Valid
3682,A,Y,A_Y948tekpartners.com,Invalid,Invalid
2889,A,Z,A_Z647tekpartners.com,Invalid,Invalid
66308,B,X,B_X379tekpartners.com,Valid,Invalid
99810,C,Y,C_Y730tekpartners.com,Valid,Invalid
36437,A,Z,A_Z216tekpartners.com,Invalid,Invalid
61832,A,X,A_X116tekpartners.com,Invalid,Valid
61624,B,Y,B_Y743tekpartners.com,Invalid,Invalid
74306,C,Z,C_Z191tekpartners.com,Invalid,Valid
18865,A,X,A_X149tekpartners.com,Valid,Invalid
36253,A,Y,A_Y889tekpartners.com,Invalid,Invalid
71102,B,Z,B_Z394tekpartners.com,Invalid,Valid
26467,C,X,C_X613tekpartners.com,Invalid,Valid
3967,A,Y,A_Y82tekpartners.com,Valid,Valid
61796,A,Z,A_Z389tekpartners.com,Invalid,Valid
50089,B,X,B_X473tekpartners.com,Valid,Valid
74751,C,Y,C_Y916tekpartners.com,Invalid,Valid
76204,A,Z,A_Z910tekpartners.com,Invalid,Valid
32250,A,X,A_X899tekpartners.com,Invalid,Invalid
75349,B,Y,B_Y371tekpartners.com,Valid,Valid
6209,C,Z,C_Z262tekpartners.com,Invalid,Valid
25967,A,X,A_X918tekpartners.com,Valid,Valid
56300,A,Y,A_Y465tekpartners.com,Invalid,Invalid
87138,B,Z,B_Z252tekpartners.com,Valid,Invalid
78959,C,X,C_X686tekpartners.com,Valid,Valid
13152,A,Y,A_Y891tekpartners.com,Invalid,Invalid
27806,A,Z,A_Z721tekpartners.com,Valid,Valid
40622,B,X,B_X101tekpartners.com,Valid,Valid
42732,C,Y,C_Y985tekpartners.com,Invalid,Valid
32696,A,Z,A_Z378tekpartners.com,Valid,Valid
59964,A,X,A_X379tekpartners.com,Invalid,Invalid
93378,B,Y,B_Y688tekpartners.com,Invalid,Valid
69640,C,Z,C_Z480tekpartners.com,Invalid,Valid
61660,A,X,A_X830tekpartners.com,Valid,Invalid
44681,A,Y,A_Y177tekpartners.com,Valid,Invalid
91756,B,Z,B_Z825tekpartners.com,Invalid,Invalid
99190,C,X,C_X633tekpartners.com,Invalid,Valid
9768,A,Y,A_Y696tekpartners.com,Valid,Valid
51282,A,Z,A_Z297tekpartners.com,Valid,Invalid
18833,B,X,B_X469tekpartners.com,Valid,Valid
38522,C,Y,C_Y588tekpartners.com,Valid,Invalid
65576,A,Z,A_Z560tekpartners.com,Valid,Valid
9470,A,X,A_X695tekpartners.com,Valid,Valid
37080,B,Y,B_Y816tekpartners.com,Invalid,Invalid
64643,C,Z,C_Z482tekpartners.com,Invalid,Invalid
43992,A,X,A_X910tekpartners.com,Invalid,Valid
87497,A,Y,A_Y366tekpartners.com,Valid,Valid
57998,B,Z,B_Z483tekpartners.com,Valid,Invalid
83747,C,X,C_X111tekpartners.com,Invalid,Valid
16873,A,Y,A_Y832tekpartners.com,Valid,Invalid
96858,A,Z,B_X591tekpartners.com,Invalid,Invalid
31257,B,X,C_Y316tekpartners.com,Valid,Invalid
50461,C,Y,A_Z165tekpartners.com,Invalid,Valid
67675,A,Z,A_X731tekpartners.com,Valid,Valid
12302,A,X,B_Y722tekpartners.com,Valid,Valid
78445,B,Y,C_Z294tekpartners.com,Invalid,Valid
6155,C,Z,A_X666tekpartners.com,Invalid,Invalid
79144,A,X,A_Y530tekpartners.com,Invalid,Valid
14422,A,Y,B_Z820tekpartners.com,Invalid,Invalid
35440,B,Z,C_X862tekpartners.com,Valid,Invalid
24066,C,X,A_Y793tekpartners.com,Invalid,Valid
89757,A,Y,A_Z121tekpartners.com,Valid,Valid
5948,A,Z,B_X580tekpartners.com,Invalid,Invalid
93151,B,X,C_Y603tekpartners.com,Invalid,Valid
96569,C,Y,A_Z28tekpartners.com,Invalid,Valid
75592,A,Z,A_X806tekpartners.com,Valid,Valid
46251,A,X,B_Y136tekpartners.com,Valid,Invalid
57986,B,Y,C_Z111tekpartners.com,Valid,Valid
94746,C,Z,A_X519tekpartners.com,Invalid,Valid
13037,A,X,A_Y116tekpartners.com,Invalid,Invalid
69984,A,Y,B_Z780tekpartners.com,Invalid,Invalid
31812,B,Z,C_X380tekpartners.com,Valid,Invalid
63302,C,X,A_Y77tekpartners.com,Invalid,Invalid
25582,A,Y,A_Z816tekpartners.com,Invalid,Valid
21892,A,Z,B_X995tekpartners.com,Valid,Valid
25540,B,X,C_Y547tekpartners.com,Valid,Valid
37935,C,Y,A_Z55tekpartners.com,Valid,Valid
74718,A,Z,A_X33tekpartners.com,Valid,Valid
34587,A,X,B_Y293tekpartners.com,Invalid,Invalid
84771,B,Y,C_Z507tekpartners.com,Valid,Valid
72222,C,Z,A_X644tekpartners.com,Valid,Invalid
3906,A,X,A_Y708tekpartners.com,Valid,Invalid
19816,A,Y,B_Z124tekpartners.com,Invalid,Valid
90873,B,Z,C_X533tekpartners.com,Invalid,Invalid
14757,C,X,A_Y364tekpartners.com,Valid,Invalid
72747,A,Y,A_Z651tekpartners.com,Valid,Invalid
48124,A,Z,B_X604tekpartners.com,Invalid,Valid
20093,B,X,C_Y652tekpartners.com,Valid,Invalid
71622,C,Y,A_Z657tekpartners.com,Invalid,Invalid
60649,A,Z,A_X657tekpartners.com,Valid,Invalid
13234,A,X,B_Y167tekpartners.com,Valid,Invalid
84729,B,Y,C_Z542tekpartners.com,Valid,Valid
42574,C,Z,A_X469tekpartners.com,Invalid,Invalid
73623,A,X,A_Y792tekpartners.com,Valid,Valid
98229,A,Y,B_Z758tekpartners.com,Valid,Valid
5229,B,Z,C_X337tekpartners.com,Valid,Invalid
26251,C,X,A_Y538tekpartners.com,Valid,Invalid
38231,A,Y,A_Z546tekpartners.com,Valid,Valid
9776,A,Z,B_X587tekpartners.com,Valid,Valid
17812,B,X,C_Y308tekpartners.com,Invalid,Valid
12582,C,Y,A_Z506tekpartners.com,Valid,Invalid
82425,A,Z,A_X194tekpartners.com,Valid,Valid
14739,A,X,B_Y380tekpartners.com,Valid,Invalid
71728,B,Y,C_Z418tekpartners.com,Valid,Valid
15043,C,Z,A_X719tekpartners.com,Invalid,Valid
42203,A,X,A_Y451tekpartners.com,Valid,Valid
38273,A,Y,B_Z31tekpartners.com,Invalid,Valid
33978,B,Z,C_X307tekpartners.com,Invalid,Valid
92418,C,X,A_Y799tekpartners.com,Invalid,Invalid
80836,A,Y,A_Z354tekpartners.com,Valid,Valid
33546,A,Z,B_X862tekpartners.com,Invalid,Valid
43459,B,X,C_Y442tekpartners.com,Valid,Invalid
30648,C,Y,A_Z81tekpartners.com,Valid,Invalid
84275,A,Z,A_X446tekpartners.com,Invalid,Invalid
83021,A,X,B_Y596tekpartners.com,Valid,Invalid
24512,B,Y,C_Z397tekpartners.com,Valid,Valid
15782,C,Z,A_X124tekpartners.com,Invalid,Invalid
95391,A,X,A_Y638tekpartners.com,Valid,Invalid
65820,A,Y,B_Z128tekpartners.com,Invalid,Valid
34689,B,Z,C_X871tekpartners.com,Invalid,Valid
82714,C,X,A_Y253tekpartners.com,Invalid,Invalid
36515,A,Y,A_Z907tekpartners.com,Valid,Valid
76406,A,Z,B_X650tekpartners.com,Invalid,Valid
80034,B,X,C_Y709tekpartners.com,Valid,Invalid
54446,C,Y,A_Z0tekpartners.com,Invalid,Valid
81589,A,Z,A_X937tekpartners.com,Invalid,Invalid
47028,A,X,B_Y919tekpartners.com,Valid,Valid
47781,B,Y,C_Z828tekpartners.com,Invalid,Valid
29640,C,Z,A_X15tekpartners.com,Invalid,Valid
6086,A,X,A_Y293tekpartners.com,Valid,Invalid
67876,A,Y,B_Z291tekpartners.com,Valid,Valid
83467,B,Z,C_X523tekpartners.com,Invalid,Invalid
9857,C,X,A_Y809tekpartners.com,Valid,Invalid
8033,A,Y,A_Z41tekpartners.com,Invalid,Valid
50108,A,Z,B_X182tekpartners.com,Valid,Invalid
64205,B,X,C_Y902tekpartners.com,Valid,Invalid
58756,C,Y,A_Z570tekpartners.com,Valid,Valid
40245,A,Z,A_X690tekpartners.com,Valid,Invalid
68220,A,X,B_Y126tekpartners.com,Valid,Valid
23783,B,Y,C_Z847tekpartners.com,Invalid,Valid
47200,C,Z,A_X479tekpartners.com,Invalid,Invalid
77353,A,X,A_Y212tekpartners.com,Valid,Valid
97872,A,Y,B_Z533tekpartners.com,Valid,Invalid
10505,B,Z,C_X982tekpartners.com,Valid,Invalid
61956,C,X,A_Y546tekpartners.com,Invalid,Valid
48671,A,Y,A_Z814tekpartners.com,Valid,Invalid
55605,A,Z,B_X935tekpartners.com,Valid,Invalid
48493,B,X,C_Y33tekpartners.com,Valid,Valid
53456,C,Y,A_Z948tekpartners.com,Valid,Valid
80084,A,Z,A_X707tekpartners.com,Invalid,Invalid
13019,A,X,B_Y78tekpartners.com,Valid,Valid
6831,B,Y,C_Z313tekpartners.com,Valid,Valid
89759,C,Z,A_X159tekpartners.com,Invalid,Invalid
13805,A,X,A_Y916tekpartners.com,Valid,Invalid
52746,A,Y,B_Z159tekpartners.com,Invalid,Valid
59018,B,Z,C_X898tekpartners.com,Invalid,Invalid
45104,C,X,A_Y860tekpartners.com,Invalid,Valid
1900,A,Y,A_Z766tekpartners.com,Valid,Valid
56985,A,Z,B_X529tekpartners.com,Valid,Invalid
32431,B,X,C_Y75tekpartners.com,Valid,Valid
40919,C,Y,A_Z337tekpartners.com,Invalid,Invalid
25032,A,Z,A_X263tekpartners.com,Valid,Invalid
10403,A,X,B_Y251tekpartners.com,Invalid,Invalid
23230,B,Y,C_Z544tekpartners.com,Valid,Invalid
37728,C,Z,A_X127tekpartners.com,Valid,Invalid
73301,A,X,A_Y839tekpartners.com,Invalid,Invalid
11155,A,Y,B_Z804tekpartners.com,Invalid,Invalid
19180,B,Z,C_X876tekpartners.com,Invalid,Invalid
67403,C,X,A_Y680tekpartners.com,Invalid,Invalid
31919,A,Y,A_Z434tekpartners.com,Valid,Invalid
83832,A,Z,B_X97tekpartners.com,Valid,Valid
64068,B,X,C_Y927tekpartners.com,Invalid,Valid
97923,C,Y,A_Z669tekpartners.com,Invalid,Valid
20553,A,Z,A_X598tekpartners.com,Invalid,Valid
3653,A,X,B_Y173tekpartners.com,Invalid,Invalid
18470,B,Y,C_Z400tekpartners.com,Invalid,Invalid
82779,C,Z,A_X834tekpartners.com,Invalid,Invalid
19527,A,X,A_Y904tekpartners.com,Valid,Invalid
39962,A,Y,B_Z554tekpartners.com,Valid,Valid
22156,B,Z,C_X674tekpartners.com,Valid,Invalid
3268,C,X,A_Y876tekpartners.com,Invalid,Invalid
71918,A,Y,A_Z67tekpartners.com,Valid,Invalid
68886,A,Z,B_X871tekpartners.com,Valid,Valid
58061,B,X,C_Y222tekpartners.com,Invalid,Valid
94230,C,Y,A_Z369tekpartners.com,Valid,Valid
95338,A,Z,A_X971tekpartners.com,Valid,Invalid
18000,A,X,B_Y423tekpartners.com,Invalid,Valid
74506,B,Y,C_Z817tekpartners.com,Valid,Valid
7112,C,Z,A_X444tekpartners.com,Invalid,Invalid
98724,A,X,A_Y445tekpartners.com,Invalid,Valid
36332,A,Y,B_Z459tekpartners.com,Invalid,Invalid
24516,B,Z,C_X677tekpartners.com,Valid,Invalid
61453,C,X,A_Y582tekpartners.com,Invalid,Invalid
890,A,Y,A_Z328tekpartners.com,Invalid,Invalid
22506,A,Z,B_X897tekpartners.com,Invalid,Invalid
73921,B,X,C_Y954tekpartners.com,Invalid,Valid
97062,C,Y,A_Z952tekpartners.com,Invalid,Valid
13049,A,Z,A_X318tekpartners.com,Invalid,Invalid
26647,A,X,B_Y201tekpartners.com,Valid,Invalid
75909,B,Y,C_Z556tekpartners.com,Invalid,Invalid
62921,C,Z,A_X437tekpartners.com,Valid,Invalid
90423,A,X,A_Y781tekpartners.com,Valid,Invalid
96828,A,Y,B_Z694tekpartners.com,Invalid,Invalid
92467,B,Z,C_X411tekpartners.com,Invalid,Invalid
23421,C,X,A_Y284tekpartners.com,Valid,Invalid
107,A,Y,A_Z353tekpartners.com,Valid,Valid
27879,A,Z,B_X77tekpartners.com,Valid,Invalid
7386,B,X,C_Y726tekpartners.com,Invalid,Valid
28153,C,Y,A_Z421tekpartners.com,Valid,Invalid
21404,A,Z,A_X324tekpartners.com,Invalid,Invalid
38803,A,X,B_Y440tekpartners.com,Invalid,Valid
93744,B,Y,C_Z732tekpartners.com,Invalid,Valid
67264,C,Z,A_X480tekpartners.com,Invalid,Invalid
21632,A,X,A_Y729tekpartners.com,Invalid,Invalid
5784,A,Y,B_Z999tekpartners.com,Valid,Valid
59932,B,Z,C_X648tekpartners.com,Invalid,Valid
99248,C,X,A_Y152tekpartners.com,Invalid,Valid
28731,A,Y,A_Z744tekpartners.com,Invalid,Invalid
84057,A,Z,B_X653tekpartners.com,Valid,Valid
38043,B,X,C_Y21tekpartners.com,Invalid,Invalid
87988,C,Y,A_Z125tekpartners.com,Invalid,Invalid
60807,A,Z,A_X931tekpartners.com,Valid,Valid
37081,A,X,B_Y952tekpartners.com,Valid,Invalid
21962,B,Y,C_Z685tekpartners.com,Invalid,Invalid
73835,C,Z,A_X555tekpartners.com,Invalid,Invalid
10633,A,X,A_Y564tekpartners.com,Valid,Invalid
51710,A,Y,B_Z501tekpartners.com,Invalid,Valid
9745,B,Z,C_X239tekpartners.com,Invalid,Valid
74371,C,X,A_Y157tekpartners.com,Valid,Valid
64542,A,Y,A_Z127tekpartners.com,Invalid,Valid
59179,A,Z,B_X61tekpartners.com,Valid,Invalid
57031,B,X,A_Z770tekpartners.com,Valid,Invalid
34162,C,Y,A_X173tekpartners.com,Valid,Valid
23625,A,Z,B_Y760tekpartners.com,Valid,Invalid
80156,A,X,C_Z519tekpartners.com,Invalid,Valid
9035,B,Y,A_X172tekpartners.com,Invalid,Valid
55707,C,Z,B_Z478tekpartners.com,Invalid,Invalid
14596,A,X,C_X822tekpartners.com,Valid,Invalid
79383,A,Y,A_Y900tekpartners.com,Invalid,Invalid
70395,B,Z,A_Z563tekpartners.com,Invalid,Valid
15188,C,X,B_X911tekpartners.com,Valid,Valid
22010,A,Y,C_Y630tekpartners.com,Valid,Valid
84804,A,Z,A_Z195tekpartners.com,Valid,Valid
50046,B,X,A_X175tekpartners.com,Valid,Invalid
12427,C,Y,B_Y428tekpartners.com,Invalid,Valid
22220,A,Z,C_Z123tekpartners.com,Valid,Valid
47324,A,X,A_X181tekpartners.com,Invalid,Valid
47722,B,Y,A_Y33tekpartners.com,Valid,Valid
36240,C,Z,B_Z647tekpartners.com,Invalid,Valid
2472,A,X,C_X896tekpartners.com,Valid,Valid
54450,A,Y,A_Y418tekpartners.com,Valid,Invalid
51284,B,Z,A_Z828tekpartners.com,Invalid,Invalid
6637,C,X,B_X986tekpartners.com,Invalid,Valid
98836,A,Y,C_Y73tekpartners.com,Invalid,Invalid
51092,A,Z,A_X467tekpartners.com,Valid,Valid
79627,B,X,B_Y867tekpartners.com,Invalid,Valid
76653,C,Y,C_Z350tekpartners.com,Invalid,Invalid
10820,A,Z,A_X951tekpartners.com,Invalid,Invalid
75930,A,X,A_Y467tekpartners.com,Valid,Valid
6451,B,Y,B_Z187tekpartners.com,Invalid,Invalid
56330,C,Z,C_X854tekpartners.com,Valid,Invalid
97596,A,X,A_Y977tekpartners.com,Valid,Invalid
95094,A,Y,A_Z478tekpartners.com,Valid,Valid
94455,B,Z,B_X725tekpartners.com,Invalid,Invalid
63174,C,X,C_Y717tekpartners.com,Invalid,Invalid
63064,A,Y,A_Z938tekpartners.com,Valid,Valid
28577,A,Z,A_X346tekpartners.com,Valid,Invalid
70711,B,X,B_Y550tekpartners.com,Valid,Invalid
79890,C,Y,C_Z953tekpartners.com,Invalid,Invalid
20130,A,Z,A_X581tekpartners.com,Invalid,Invalid
36352,A,X,A_Y573tekpartners.com,Invalid,Invalid
33013,B,Y,B_Z181tekpartners.com,Valid,Invalid
78052,C,Z,C_X99tekpartners.com,Valid,Invalid
7083,A,X,A_Y91tekpartners.com,Valid,Invalid
8480,A,Y,A_Z544tekpartners.com,Valid,Invalid
33237,B,Z,C_Y62tekpartners.com,Invalid,Invalid
46764,C,X,A_Z197tekpartners.com,Valid,Valid
49475,A,Y,A_X789tekpartners.com,Invalid,Invalid
63655,A,Z,B_Y529tekpartners.com,Invalid,Valid
7931,B,X,C_Z363tekpartners.com,Invalid,Valid
63877,C,Y,A_X981tekpartners.com,Invalid,Valid
54913,A,Z,A_Y734tekpartners.com,Invalid,Valid
19651,A,X,B_Z960tekpartners.com,Valid,Valid
30338,B,Y,C_X93tekpartners.com,Invalid,Invalid
80661,C,Z,A_Y262tekpartners.com,Valid,Valid
82071,A,X,A_Z873tekpartners.com,Valid,Invalid
85485,A,Y,B_X121tekpartners.com,Invalid,Invalid
86941,B,Z,C_Y816tekpartners.com,Valid,Valid
51815,C,X,A_Z259tekpartners.com,Invalid,Invalid
67197,A,Y,A_X411tekpartners.com,Valid,Valid
89633,A,Z,B_Y81tekpartners.com,Invalid,Valid
69024,B,X,C_Z316tekpartners.com,Valid,Invalid
42151,C,Y,A_X458tekpartners.com,Invalid,Valid
27532,A,Z,A_Y341tekpartners.com,Invalid,Valid
68768,A,X,B_Z757tekpartners.com,Valid,Invalid
61891,B,Y,C_X344tekpartners.com,Invalid,Valid
15944,C,Z,A_Y317tekpartners.com,Valid,Valid
85602,A,X,A_Z955tekpartners.com,Invalid,Valid
92303,A,Y,B_X231tekpartners.com,Valid,Invalid
99715,B,Z,C_Y325tekpartners.com,Invalid,Invalid
3462,C,X,A_X965tekpartners.com,Invalid,Invalid
54625,A,Y,B_Y910tekpartners.com,Valid,Invalid
23535,A,Z,C_Z385tekpartners.com,Invalid,Valid
68598,B,X,A_X252tekpartners.com,Valid,Invalid
33848,C,Y,A_Y359tekpartners.com,Invalid,Invalid
89702,A,Z,B_Z105tekpartners.com,Valid,Valid
63149,A,X,C_X393tekpartners.com,Invalid,Invalid
82453,B,Y,A_Y439tekpartners.com,Valid,Valid
11773,C,Z,A_Z807tekpartners.com,Invalid,Invalid
72618,A,X,B_X628tekpartners.com,Valid,Invalid
78605,A,Y,C_Y78tekpartners.com,Invalid,Invalid
25757,B,Z,A_Z463tekpartners.com,Valid,Valid
48871,C,X,A_X162tekpartners.com,Valid,Invalid
25693,A,Y,B_Y887tekpartners.com,Valid,Valid
59539,A,Z,C_Z192tekpartners.com,Invalid,Valid
40456,B,X,A_X560tekpartners.com,Invalid,Invalid
50511,C,Y,A_Y141tekpartners.com,Valid,Invalid
54967,A,Z,B_Z130tekpartners.com,Invalid,Valid
96997,A,X,C_X991tekpartners.com,Valid,Invalid
29147,B,Y,A_Y330tekpartners.com,Invalid,Invalid
50281,C,Z,A_Z802tekpartners.com,Valid,Valid
67267,A,X,B_X631tekpartners.com,Invalid,Invalid
29953,A,Y,C_Y754tekpartners.com,Invalid,Valid
44730,B,Z,A_Z154tekpartners.com,Invalid,Invalid
29844,C,X,A_X680tekpartners.com,Valid,Valid
92146,A,Y,B_Y620tekpartners.com,Invalid,Valid
80841,A,Z,C_Z910tekpartners.com,Invalid,Valid
922,B,X,A_X500tekpartners.com,Valid,Invalid
25944,C,Y,A_Y149tekpartners.com,Valid,Valid
88293,A,Z,C_X942tekpartners.com,Invalid,Invalid
86306,A,X,A_Y179tekpartners.com,Valid,Invalid
71486,B,Y,A_Z569tekpartners.com,Invalid,Invalid
86180,C,Z,B_X705tekpartners.com,Valid,Invalid
11627,A,X,C_Y283tekpartners.com,Invalid,Valid
76666,A,Y,A_Z257tekpartners.com,Valid,Valid
85267,B,Z,A_X154tekpartners.com,Valid,Valid
18492,C,X,B_Y100tekpartners.com,Invalid,Valid
77318,A,Y,C_Z419tekpartners.com,Valid,Invalid
41607,A,Z,A_X655tekpartners.com,Invalid,Valid
15340,B,X,A_Y646tekpartners.com,Valid,Invalid
71359,C,Y,B_Z109tekpartners.com,Invalid,Valid
60480,A,Z,C_X532tekpartners.com,Valid,Valid
42438,A,X,A_Y983tekpartners.com,Invalid,Valid
539,B,Y,A_Z309tekpartners.com,Invalid,Invalid
5082,C,Z,B_X963tekpartners.com,Invalid,Valid
46676,A,X,C_Y998tekpartners.com,Invalid,Valid
92943,A,Y,A_Z855tekpartners.com,Invalid,Valid
58989,B,Z,A_X378tekpartners.com,Invalid,Valid
42889,C,X,C_Z765tekpartners.com,Invalid,Valid
91601,A,Y,A_X928tekpartners.com,Invalid,Invalid
40343,A,Z,A_Y974tekpartners.com,Invalid,Valid
13071,B,X,B_Z214tekpartners.com,Valid,Invalid
1205,C,Y,C_X988tekpartners.com,Valid,Valid
57728,A,Z,A_Y8tekpartners.com,Invalid,Valid
1467,A,X,B_X946tekpartners.com,Valid,Invalid
92414,B,Y,C_Y230tekpartners.com,Invalid,Valid
99631,C,Z,A_Z559tekpartners.com,Valid,Valid
78023,A,X,A_X466tekpartners.com,Valid,Invalid
39584,A,Y,B_Y654tekpartners.com,Invalid,Valid
18497,B,Z,C_Z791tekpartners.com,Invalid,Invalid
96970,C,X,A_X62tekpartners.com,Valid,Valid
79339,A,Y,A_Y382tekpartners.com,Valid,Valid
90232,A,Z,B_Z815tekpartners.com,Invalid,Valid
35380,B,X,C_X783tekpartners.com,Invalid,Valid
958,C,Y,A_Y273tekpartners.com,Invalid,Valid
94385,A,Z,A_Z743tekpartners.com,Valid,Valid
26916,A,X,B_X719tekpartners.com,Invalid,Invalid
17063,B,Y,C_Y250tekpartners.com,Invalid,Valid
84940,C,Z,A_Z591tekpartners.com,Valid,Invalid
930,A,X,A_X209tekpartners.com,Invalid,Valid
78816,A,Y,B_Y193tekpartners.com,Valid,Valid
71058,B,Z,C_Z136tekpartners.com,Invalid,Invalid
14349,C,X,A_X853tekpartners.com,Valid,Invalid
3280,A,Y,A_Y757tekpartners.com,Valid,Valid
71174,A,Z,B_Z217tekpartners.com,Invalid,Invalid
49816,B,X,C_X939tekpartners.com,Valid,Valid
68252,C,Y,A_Y752tekpartners.com,Valid,Valid
30496,A,Z,A_Z249tekpartners.com,Invalid,Invalid
18494,A,X,B_X419tekpartners.com,Valid,Valid
16862,B,Y,C_Y291tekpartners.com,Invalid,Valid
99483,C,Z,A_Z470tekpartners.com,Valid,Invalid
83477,A,X,A_X16tekpartners.com,Valid,Valid
75993,A,Y,B_Y376tekpartners.com,Invalid,Invalid
85771,B,Z,C_Z653tekpartners.com,Valid,Valid
97968,C,X,A_X414tekpartners.com,Valid,Valid
31136,A,Y,A_Y263tekpartners.com,Valid,Invalid
90878,A,Z,B_Z372tekpartners.com,Valid,Valid
30692,B,X,C_X229tekpartners.com,Invalid,Invalid
93914,C,Y,A_Y48tekpartners.com,Valid,Valid
93332,A,Z,A_Z37tekpartners.com,Invalid,Valid
88135,A,X,B_X151tekpartners.com,Invalid,Valid
25817,B,Y,C_Y809tekpartners.com,Invalid,Invalid
92576,C,Z,A_Z191tekpartners.com,Valid,Valid
14605,A,X,A_X196tekpartners.com,Valid,Invalid
86732,A,Y,C_Z770tekpartners.com,Valid,Valid
56389,B,Z,A_X440tekpartners.com,Invalid,Valid
18158,C,X,A_Y743tekpartners.com,Valid,Valid
38638,A,Y,B_Z356tekpartners.com,Valid,Valid
73295,A,Z,C_X578tekpartners.com,Invalid,Invalid
13202,B,X,A_Y796tekpartners.com,Valid,Valid
51756,C,Y,A_Z115tekpartners.com,Valid,Invalid
160,A,Z,B_X181tekpartners.com,Valid,Valid
12760,A,X,C_Y414tekpartners.com,Valid,Invalid
7157,B,Y,A_Z765tekpartners.com,Invalid,Valid
86679,C,Z,A_X770tekpartners.com,Invalid,Valid
48683,A,X,B_Y572tekpartners.com,Valid,Valid
67623,A,Y,C_Z10tekpartners.com,Valid,Valid
8506,B,Z,A_X682tekpartners.com,Invalid,Invalid
20015,C,X,A_Y472tekpartners.com,Invalid,Valid
40046,A,Y,B_Z787tekpartners.com,Invalid,Invalid
39382,A,Z,C_X114tekpartners.com,Invalid,Valid
27514,B,X,A_Y222tekpartners.com,Valid,Valid
13825,C,Y,A_Z221tekpartners.com,Invalid,Invalid
73325,A,Z,B_X910tekpartners.com,Invalid,Invalid
54250,A,X,C_Y64tekpartners.com,Invalid,Valid
49369,B,Y,A_Z422tekpartners.com,Valid,Valid
28420,C,Z,A_X452tekpartners.com,Valid,Invalid
45604,A,X,B_Y828tekpartners.com,Invalid,Invalid
15069,A,Y,C_Z403tekpartners.com,Valid,Valid
52172,B,Z,A_X169tekpartners.com,Valid,Invalid
84456,C,X,A_Y34tekpartners.com,Invalid,Invalid
